"Regulator","Target"
"RARA","MCL1"
"RARA","SQSTM1"
"RARA","HLA-E"
"RARA","RHOA"
"RARA","OGA"
"RARA","NFKBIA"
"RARA","NDRG1"
"RARA","ACTB"
"RARA","GADD45B"
"RARA","MAT2A"
"NFE2L2","MCL1"
"NFE2L2","SUMO1"
"NFE2L2","RHOA"
"NFE2L2","CDK4"
"NFE2L2","OGA"
"NFE2L2","APP"
"NFE2L2","ERBB2"
"NFE2L2","NDRG1"
"NFE2L2","ACTB"
"NFE2L2","GADD45B"
"NFE2L2","HSP90AA1"
"NFE2L2","TGFBR2"
"VEZF1","MCL1"
"VEZF1","HLA-E"
"VEZF1","RHOA"
"VEZF1","CDK4"
"VEZF1","OGA"
"VEZF1","APP"
"VEZF1","ERBB2"
"VEZF1","NDRG1"
"VEZF1","ACTB"
"VEZF1","MAT2A"
"VEZF1","TGFBR2"
"SP1","MCL1"
"SP1","OGA"
"SP1","ERBB2"
"SP1","NDRG1"
"SP1","MAT2A"
"SMARCC1","MCL1"
"SMARCC1","SQSTM1"
"SMARCC1","SUMO1"
"SMARCC1","RHOA"
"SMARCC1","CDK4"
"SMARCC1","OGA"
"SMARCC1","NDRG1"
"SMARCC1","MAT2A"
"ZNF384","MCL1"
"ZNF384","SQSTM1"
"ZNF384","SUMO1"
"ZNF384","HLA-E"
"ZNF384","RHOA"
"ZNF384","CDK4"
"ZNF384","OGA"
"ZNF384","ERBB2"
"ZNF384","NDRG1"
"ZNF384","ACTB"
"ZNF384","PCNA"
"ZNF384","MAT2A"
"ZNF384","TGFBR2"
"KLF10","MCL1"
"KLF10","SQSTM1"
"KLF10","NDRG1"
"KLF10","GADD45B"
"KLF10","TNFSF10"
"ARNT","MCL1"
"ARNT","SQSTM1"
"ARNT","HLA-E"
"ARNT","RHOA"
"ARNT","CDK4"
"ARNT","OGA"
"ARNT","APP"
"ARNT","NDRG1"
"ARNT","SPARC"
"ARNT","MAT2A"
"ARNT","VIM"
"ARNT","HLA-DRB1"
"ARNT","TGFBR2"
"BCLAF1","MCL1"
"BCLAF1","HLA-E"
"BCLAF1","RHOA"
"BCLAF1","CDK4"
"BCLAF1","OGA"
"BCLAF1","APP"
"BCLAF1","ERBB2"
"BCLAF1","NDRG1"
"BCLAF1","ACTB"
"BCLAF1","SPARC"
"BCLAF1","MAT2A"
"BCLAF1","VIM"
"BCLAF1","TGFBR2"
"MLXIP","MCL1"
"MLXIP","SQSTM1"
"MLXIP","HLA-E"
"MLXIP","OGA"
"MLXIP","SPARC"
"MLXIP","MAT2A"
"MLXIP","PDLIM7"
"MBD2","MCL1"
"MBD2","SUMO1"
"MBD2","RHOA"
"MBD2","CDK4"
"MBD2","GSTP1"
"MBD2","OGA"
"MBD2","APP"
"MBD2","ERBB2"
"MBD2","NDRG1"
