plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_lin,ACTA2,EZR;SMPX;CYCS;GOT1;PRDX5,exp02_heart_atrial_appendage-coregtor-n_five,0.21524
CoRegTor,goa_similarity_lin,ACTB,SF1;CLK1;BHLHE40;TAGLN2;ATF4;ID2,exp02_heart_atrial_appendage-coregtor-n_five,0.30607
CoRegTor,goa_similarity_lin,APOE,CLK1;SNRNP70;ID1;ID2;JUN,exp02_heart_atrial_appendage-coregtor-n_five,0.31417
CoRegTor,goa_similarity_lin,CLU,TAGLN2;ID2;SF1;NPDC1;EGR1,exp02_heart_atrial_appendage-coregtor-n_five,0.27676
CoRegTor,goa_similarity_lin,CRYAB,TPI1;SMPX;SUCLG1;DRAP1;UGP2;YWHAE,exp02_heart_atrial_appendage-coregtor-n_five,0.27209
CoRegTor,goa_similarity_lin,DUSP1,FOS;JUNB,exp02_heart_atrial_appendage-coregtor-n_five,0.62357
CoRegTor,goa_similarity_lin,FN1,CEBPD;CSNK2B,exp02_heart_atrial_appendage-coregtor-n_five,0.37317
CoRegTor,goa_similarity_lin,HBB,RPL35;ATF4;CEBPD;NPDC1;BHLHE40,exp02_heart_atrial_appendage-coregtor-n_five,0.37134
CoRegTor,goa_similarity_lin,HSP90AA1,YWHAE;CYCS;PRNP;SOD1;ID1;CLK1,exp02_heart_atrial_appendage-coregtor-n_five,0.28023
CoRegTor,goa_similarity_lin,HSPA1A,ID1;SOD1;HSPA5;CLK1;ATF4,exp02_heart_atrial_appendage-coregtor-n_five,0.31819
CoRegTor,goa_similarity_lin,ID3,ID2;JUN;FOS;SNRNP70;TAGLN2,exp02_heart_atrial_appendage-coregtor-n_five,0.3302
CoRegTor,goa_similarity_lin,MAT2A,HNRNPA1;CD59;SF1;EGR1;JUNB,exp02_heart_atrial_appendage-coregtor-n_five,0.37382
CoRegTor,goa_similarity_lin,MCL1,EGR1;JUNB;FOS,exp02_heart_atrial_appendage-coregtor-n_five,0.61429
CoRegTor,goa_similarity_lin,SPARC,PKM;SF1;ZNF358,exp02_heart_atrial_appendage-coregtor-n_five,0.41838
CoRegTor,goa_similarity_lin,TAGLN,DRAP1;CD59;TAGLN2;SMPX;HSPA5,exp02_heart_atrial_appendage-coregtor-n_five,0.22567
CoRegTor,goa_similarity_lin,TIMP1,TPI1;ATF4;P4HB;ID2;DRAP1,exp02_heart_atrial_appendage-coregtor-n_five,0.31697
CoRegTor,goa_similarity_lin,VEGFA,BHLHE40;ENO1;TPI1;CEBPD;ATF4,exp02_heart_atrial_appendage-coregtor-n_five,0.45195
CoRegTor,goa_similarity_lin,VIM,TAGLN2;HNRNPA1;RPL6,exp02_heart_atrial_appendage-coregtor-n_five,0.36046
CoRegNet,goa_similarity_lin,ACTA2,BHLHE40;EGR1;FOS;NR4A1,exp02-coregnet,0.57382
CoRegNet,goa_similarity_lin,ACTB,BHLHE40;CEBPD;CLK1;EGR1;ENO1;FOS;ID2;JUN;JUNB;JUND;NR4A1;TAGLN2,exp02-coregnet,0.45354
CoRegNet,goa_similarity_lin,APOE,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.63877
CoRegNet,goa_similarity_lin,CLU,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.63877
CoRegNet,goa_similarity_lin,CRYAB,BHLHE40;CYCS;ENO1;GOT1;HADHB;HSPA5;NFE2L1;NKX2-5;SMPX;TBX5;UQCRB,exp02-coregnet,0.28779
CoRegNet,goa_similarity_lin,DUSP1,BHLHE40;EGR1;FOS;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.63093
CoRegNet,goa_similarity_lin,FN1,BHLHE40;CEBPD;EGR1;FOS;JUNB;NR4A1,exp02-coregnet,0.61539
CoRegNet,goa_similarity_lin,HBB,BHLHE40;EGR1;NR4A1,exp02-coregnet,0.5775
CoRegNet,goa_similarity_lin,HSP90AA1,BHLHE40;EGR1;FOS;HADHB;HSPA5;ID2;JUN;JUNB;NR4A1;PRNP,exp02-coregnet,0.41818
CoRegNet,goa_similarity_lin,HSPA1A,BHLHE40;EGR1;JUN;NR4A1,exp02-coregnet,0.58594
CoRegNet,goa_similarity_lin,ID3,BHLHE40;EGR1;FOS;ID1;ID2;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.55668
CoRegNet,goa_similarity_lin,MAT2A,BHLHE40;EGR1;ENO1;FOS;JUNB;NR4A1,exp02-coregnet,0.55466
