"Regulator","Target"
"ARID5A","TAGLN"
"ARID5A","VIM"
"ARID5A","HLA-DRB1"
"ARID5A","CDKN1A"
"ARID5A","SOCS3"
"MAFF","TAGLN"
"MAFF","VIM"
"MAFF","CRYAB"
"MAFF","PER1"
"MAFF","GADD45B"
"MAFF","CDKN1A"
"MAFF","HSP90AA1"
"NR1D1","TAGLN"
"NR1D1","HBB"
"NR1D1","VIM"
"NR1D1","PER1"
"NR1D1","TNFSF10"
"NR1D1","ACTA2"
"NR1D1","GADD45B"
"NR1D1","FN1"
"NR1D1","HBA2"
"NR1D1","SOD2"
"JUN","TAGLN"
"JUN","HBB"
"JUN","VIM"
"JUN","CRYAB"
"JUN","HLA-DRB1"
"JUN","TNFSF10"
"JUN","ACTA2"
"JUN","GADD45B"
"JUN","FN1"
"JUN","HSPA1A"
"JUN","HBA2"
"JUN","HSP90AA1"
"JUN","DUSP1"
"JUN","MT1A"
"NR4A2","TAGLN"
"NR4A2","HBB"
"NR4A2","VIM"
"NR4A2","TIMP3"
"NR4A2","CRYAB"
"NR4A2","PER1"
"NR4A2","ACTA2"
"NR4A2","FN1"
"NR4A2","HSPA1A"
"NR4A2","HBA2"
"NR4A2","HSP90AA1"
"NR4A2","DUSP1"
"NR4A2","PDK4"
"NR4A2","TIMP1"
"NR4A2","MT1A"
"NR4A2","SOD2"
"NR4A2","CLU"
"NR4A2","TKT"
"BHLHE40","TAGLN"
"BHLHE40","HBB"
"BHLHE40","VIM"
"BHLHE40","CRYAB"
"BHLHE40","HLA-DRB1"
"BHLHE40","PER1"
"BHLHE40","ACTA2"
"BHLHE40","TIMP1"
"BHLHE40","GADD45B"
"BHLHE40","FN1"
"BHLHE40","CDKN1A"
"BHLHE40","HSPA1A"
"BHLHE40","HBA2"
"BHLHE40","HSP90AA1"
"BHLHE40","DUSP1"
"BHLHE40","SOCS3"
"BHLHE40","PDK4"
"BHLHE40","MT1A"
"BHLHE40","TKT"
"FOS","TAGLN"
"FOS","HBB"
"FOS","VIM"
"FOS","CRYAB"
"FOS","HLA-DRB1"
"FOS","PER1"
"FOS","TNFSF10"
"FOS","ACTA2"
"FOS","GADD45B"
"FOS","FN1"
"FOS","CDKN1A"
"FOS","HSPA1A"
"FOS","HBA2"
"FOS","HSP90AA1"
"FOS","DUSP1"
"FOS","SOCS3"
"FOS","MT1A"
"FOS","SOD2"
"FOS","TKT"
"ATF3","TAGLN"
"ATF3","HBB"
"ATF3","VIM"
"ATF3","CRYAB"
"ATF3","HLA-DRB1"
"ATF3","PER1"
"ATF3","TNFSF10"
"ATF3","ACTA2"
"ATF3","TIMP1"
"ATF3","GADD45B"
"ATF3","FN1"
"ATF3","CDKN1A"
"ATF3","HSPA1A"
"ATF3","HBA2"
"ATF3","HSP90AA1"
"ATF3","DUSP1"
"ATF3","SOCS3"
"ATF3","PDK4"
"ATF3","MT1A"
"ATF3","APOE"
"ATF3","CLU"
"ATF3","TKT"
"NR4A1","TAGLN"
"NR4A1","HBB"
"NR4A1","VIM"
"NR4A1","TIMP3"
"NR4A1","CRYAB"
"NR4A1","PER1"
"NR4A1","ACTA2"
"NR4A1","GADD45B"
"NR4A1","FN1"
"NR4A1","CDKN1A"
"NR4A1","HSPA1A"
"NR4A1","HBA2"
"NR4A1","HSP90AA1"
"NR4A1","DUSP1"
"NR4A1","SOCS3"
"NR4A1","PDK4"
"NR4A1","TNFSF10"
"NR4A1","TIMP1"
"NR4A1","MT1A"
"NR4A1","APOE"
"NR4A1","SOD2"
"NR4A1","CLU"
"NR4A1","TKT"
"EGR1","TAGLN"
"EGR1","HBB"
"EGR1","VIM"
"EGR1","TIMP3"
"EGR1","CRYAB"
"EGR1","HLA-DRB1"
"EGR1","PER1"
"EGR1","TNFSF10"
"EGR1","ACTA2"
"EGR1","GADD45B"
"EGR1","FN1"
"EGR1","CDKN1A"
"EGR1","HSPA1A"
"EGR1","HBA2"
"EGR1","HSP90AA1"
"EGR1","DUSP1"
"EGR1","SOCS3"
"EGR1","PDK4"
"EGR1","MT1A"
"EGR1","APOE"
"EGR1","SOD2"
"EGR1","CLU"
"EGR1","TKT"
"KDM5D","TAGLN"
"KDM5D","HBB"
"KDM5D","VIM"
"KDM5D","TIMP3"
"KDM5D","HLA-DRB1"
"KDM5D","PDK4"
"KDM5D","TNFSF10"
"KDM5D","ACTA2"
"KDM5D","TIMP1"
"KDM5D","GADD45B"
"KDM5D","FN1"
"KDM5D","CDKN1A"
"KDM5D","MT1A"
"KDM5D","HSPA1A"
"KDM5D","HBA2"
"KDM5D","HSP90AA1"
"KDM5D","SOCS3"
"KDM5D","APOE"
"KDM5D","SOD2"
"KDM5D","CLU"
"KDM5D","TKT"
"KDM5D","CRYAB"
"KDM5D","PER1"
"KDM5D","DUSP1"
"FOSB","TAGLN"
"FOSB","HBB"
"FOSB","VIM"
"FOSB","TIMP3"
"FOSB","CRYAB"
"FOSB","HLA-DRB1"
"FOSB","PER1"
"FOSB","TNFSF10"
"FOSB","ACTA2"
"FOSB","GADD45B"
"FOSB","FN1"
"FOSB","CDKN1A"
"FOSB","HSPA1A"
"FOSB","HBA2"
"FOSB","HSP90AA1"
"FOSB","DUSP1"
"FOSB","SOCS3"
"FOSB","PDK4"
"FOSB","TIMP1"
"FOSB","MT1A"
"FOSB","APOE"
"FOSB","SOD2"
"FOSB","CLU"
"FOSB","TKT"
"HSF4","VIM"
"TFCP2L1","TIMP3"
"TFCP2L1","PER1"
"TFCP2L1","HLA-DRB1"
"ZBTB16","TIMP3"
"ZBTB16","PER1"
"HEYL","TIMP3"
"HEYL","HSP90AA1"
"KLF4","TIMP3"
"DDIT3","CRYAB"
"DDIT3","HSP90AA1"
"KLF6","CRYAB"
"KLF6","PER1"
"KLF6","CDKN1A"
"KLF6","DUSP1"
"JUNB","CRYAB"
"JUNB","GADD45B"
"JUNB","CDKN1A"
"JUNB","DUSP1"
"JUNB","SOCS3"
"CEBPD","PER1"
"CEBPD","GADD45B"
"CEBPD","CDKN1A"
"CEBPD","SOD2"
"TEF","PER1"
"DBP","PER1"
"JUND","PER1"
"JUND","DUSP1"
"BCL3","TIMP1"
"BCL3","CDKN1A"
"BCL3","SOCS3"
"BCL3","SOD2"
"BCL6","GADD45B"
"BCL6","HSP90AA1"
"BCL6","SOD2"
"FOSL2","CDKN1A"
"NFIL3","CDKN1A"
"NFIL3","HSP90AA1"
"FOXE1","CDKN1A"
